feature_idx,rank,sentence,category
4362,10,"Market leader Nvidia (NVDA) dipped more than 2%, while AMD (AMD) fell more than 4%",financial_news
5609,1,This is a news article titled '1 Wall Street Analyst Upgraded Rivian Stock With a Possible Catalyst Ahead,financial_news
5609,2,United Airlines’ stellar first-quarter performance reflects resilience amidst industry challenges,financial_news
5609,3,Regulatory capital requirements impacted lending capacity and growth strategies for financial institutions.,financial_news
5609,4,Securitization of credit assets slowed due to market conditions and regulatory changes.,financial_news
5609,5,Continued from the article titled '1 Wall Street Analyst Upgraded Rivian Stock With a Possible Catalyst Ahead,financial_news
5609,6,Corporate bond issuance declined 30% due to unfavorable market conditions and increased borrowing costs.,financial_news
5609,7,Portfolio construction methodologies evolved to incorporate new risk factors and constraints.,financial_news
5609,8,Credit portfolio diversification strategies were implemented to reduce concentration risk.,financial_news
5609,9,Credit risk capital requirements increased under new regulations and supervisory guidance.,financial_news
5609,10,Merger and acquisition activity accelerated with $75 billion in deals announced during the quarter.,financial_news
20529,1,50 at the time of the print,financial_news
20529,2,Market sentiment surveys showed increasing optimism among professional investors.,financial_news
20529,3,Interest rate policy decisions were communicated clearly to financial market participants.,financial_news
20529,4,Interest rate sensitivity analysis showed portfolio vulnerability to rising rates.,financial_news
20529,5,Investment policy statements were updated to reflect changing market conditions and objectives.,financial_news
20529,6,Corporate bond issuance declined 30% due to unfavorable market conditions and increased borrowing costs.,financial_news
20529,7,We even found some less trafficked financials to buy like Moelis,financial_news
20529,8,Credit scoring models were updated to reflect new risk factors and economic conditions.,financial_news
20529,9,"I am typically early on these kinds of buys, so I won’t be surprised if they take some time to turn around",financial_news
20529,10,Monetary policy accommodation supported economic recovery and employment growth.,financial_news
4527,1,Corporate liquidity positions strengthened through cash generation and balance sheet management.,financial_news
4527,2,"The average contract interest rate for 30-year fixed-rate mortgages with conforming loan balances of $766,550 or less increased to 7",financial_news
4527,3,The stock was up about 12% as of 10:30 a,financial_news
4527,4,Most of these positions had been held for a long while and saw parabolic rallies which are rarely sustainable,financial_news
4527,5,Share repurchase program authorized additional $3 billion in buybacks to return capital to shareholders.,financial_news
4527,6,"Overall, adjusted earnings per share was up 21% to $1",financial_news
4527,7,Shares have Peloton keep cycling lower,financial_news
4527,8,"Meanwhile, the average contract interest rate for 30-year fixed-rate mortgages backed by the FHA increased to 6",financial_news
4527,9,Major averages ticked higher at the open as traders looked to break a three-day losing streak,financial_news
4527,10,"opening bell on Wednesday:S&P 500: 5,074",financial_news
414,1,"Meanwhile, United's revenue of $12",financial_news
414,2,Corporate financial reporting transparency increased under new accounting standards.,financial_news
414,3,Here's where US indexes stood at the 9:30 a,financial_news
414,4,The volume of mortgage applications increased 3,financial_news
414,5,Image source: Getty Images,financial_news
414,6,50 at the time of the print,financial_news
414,7,"79, its highest since late December",financial_news
414,8,Earnings per share growth outpaced revenue growth due to margin expansion and share buybacks.,financial_news
414,9,We even found some less trafficked financials to buy like Moelis,financial_news
414,10,"01%, the MBA data showed",financial_news
19188,1,This is well above the 3,financial_news
19188,2,It covers the following details: United Airlines Stock: Q1 Earnings Surge Vs,financial_news
19188,3,This is a news article titled 'United Airlines Stock: Q1 Earnings Surge Vs,financial_news
19188,4,"""Perfectly said, and most others on the Street would agree",financial_news
19188,5,Net effective rent change (over the entire lease term) was 67,financial_news
19188,6,"57 Wall Street expected, per Bloomberg data",financial_news
19188,7,Credit portfolio diversification strategies were implemented to reduce concentration risk.,financial_news
19188,8,What they may be missing are a few points brought to light by Deutsche Bank analyst Bryan Kraft this morning,financial_news
19188,9,48 participants experienced treatment-emergent adverse events (TEAEs),financial_news
19188,10,"It expects vacancy rates to reach the mid-6% range, quickly moving quickly lower later this year",financial_news
3597,1,Technical Red Flagsoriginally appeared onBenzinga,financial_news
3597,2,This is well above the 3,financial_news
3597,3,We expect Tesla to have to comment on these on its upcoming earnings call,financial_news
3597,4,50 at the time of the print,financial_news
3597,5,"ET on Wednesday, the stock was down 7",financial_news
3597,6,The vast majority of TEAES were mild to moderate in severity,financial_news
3597,7,We even found some less trafficked financials to buy like Moelis,financial_news
3597,8,Investment governance structures ensured proper oversight and alignment with objectives.,financial_news
3597,9,Revenue recognition policies aligned with new accounting standards and regulatory requirements.,financial_news
3597,10,Purchase applications drove the increase,financial_news
8549,1,Shares have Peloton keep cycling lower,financial_news
8549,2,"While that news was roughly what Wall Street expected, both the first-quarter and revenue number and the guidance missed analyst estimates",financial_news
8549,3,Our work said that two or three cuts would be a lot with the risk being less or none,financial_news
8549,4,54 billion came in above estimates for $12,financial_news
8549,5,Major averages ticked higher at the open as traders looked to break a three-day losing streak,financial_news
8549,6,Story continues(Fed Chair Jerome) Powell and the FOMC would need to consider a 25-basis point hike,financial_news
8549,7,Earnings conference calls revealed optimistic outlook for future quarters and full-year guidance.,financial_news
8549,8,"Market capitalization of tech stocks reached unprecedented levels, exceeding $10 trillion.",financial_news
8549,9,Central bank credibility remained high despite challenging economic conditions.,financial_news
8549,10,Regulatory reporting frequency increased to support supervisory oversight and monitoring.,financial_news
22733,1,"However, it lowered its full-year guidance by 1% to a new range of $5",financial_news
22733,2,"The Fed boss said progress on inflation appeared to be stuck, indicating rates will remain high",financial_news
22733,3,Net effective rent change (over the entire lease term) was 67,financial_news
22733,4,Portfolio optimization techniques incorporated transaction costs and implementation constraints.,financial_news
22733,5,"But, there is some concern creeping in on the Street on the back half of the year outlook for Netflix",financial_news
22733,6,He added that risks that are now reflected in the stock price include slowing EV sales growth in general,financial_news
22733,7,Interest rate sensitivity analysis showed portfolio vulnerability to rising rates.,financial_news
22733,8,Credit risk capital requirements increased under new regulations and supervisory guidance.,financial_news
22733,9,5% in months when the 10-year was 6%,financial_news
22733,10,Compliance risk culture assessments identified areas for improvement and enhancement.,financial_news
6071,1,Image source: Getty Images,financial_news
6071,2,Interest rate differentials between countries affected currency flows and exchange rates.,financial_news
6071,3,Loan approval rates tightened as banks increased risk assessment standards for commercial lending.,financial_news
6071,4,Policy rate decisions influenced borrowing costs across consumer and business lending.,financial_news
6071,5,Policy rate transmission to retail lending rates occurred with expected lags.,financial_news
6071,6,Interest rate swap markets reflected changing expectations for future monetary policy.,financial_news
6071,7,Lending rate spreads over benchmark rates increased significantly across all loan types.,financial_news
6071,8,Forward guidance from central banks influenced market expectations for future rate movements.,financial_news
6071,9,Interest rate corridor systems provided stability in short-term funding markets.,financial_news
6071,10,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
2502,1,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
2502,2,Term premium on long-term bonds increased significantly as uncertainty about future policy grew.,financial_news
2502,3,The yield curve flattened as short-term rates remained elevated while long-term rates declined.,financial_news
2502,4,Derivatives usage for portfolio protection increased significantly during market uncertainty.,financial_news
2502,5,Lending capacity utilization increased as demand for credit remained strong.,financial_news
2502,6,Interest rate policy effectiveness was enhanced by macroprudential policy coordination.,financial_news
2502,7,Central bank balance sheet expanded through quantitative easing measures to support economic recovery.,financial_news
2502,8,Loan approval rates tightened as banks increased risk assessment standards for commercial lending.,financial_news
2502,9,Monetary policy stance remained accommodative despite rising inflation pressures.,financial_news
2502,10,Policy rate normalization was conducted gradually to minimize market volatility.,financial_news
17263,1,Compliance monitoring and testing programs were enhanced to ensure regulatory adherence.,financial_news
17263,2,Regulatory enforcement actions increased across multiple jurisdictions and business lines.,financial_news
17263,3,Regulatory reporting frequency increased to support supervisory oversight and monitoring.,financial_news
17263,4,Credit risk monitoring systems were enhanced to detect early warning signals.,financial_news
17263,5,"47%Dow Jones Industrial Average: 37,918",financial_news
17263,6,Credit risk governance structures were enhanced to improve oversight and control.,financial_news
17263,7,Compliance officer responsibilities expanded significantly as regulatory complexity increased.,financial_news
17263,8,Corporate debt levels were managed prudently to maintain financial flexibility.,financial_news
17263,9,Compliance monitoring systems detected potential violations early and prevented regulatory issues.,financial_news
17263,10,Capital expenditure authorization processes ensured proper oversight and accountability.,financial_news
16724,1,50 at the time of the print,financial_news
16724,2,Credit portfolio stress testing revealed vulnerabilities under adverse economic scenarios.,financial_news
16724,3,"47%Dow Jones Industrial Average: 37,918",financial_news
16724,4,"79, its highest since late December",financial_news
16724,5,48 participants experienced treatment-emergent adverse events (TEAEs),financial_news
16724,6,"5 billion, exceeding the consensus estimate of $12",financial_news
16724,7,Credit risk reporting frequency increased to support timely decision-making.,financial_news
16724,8,5% lower than its session high,financial_news
16724,9,Portfolio reporting frequency increased to support timely decision-making and monitoring.,financial_news
16724,10,"Stop thinking your expensive watch is an investment, Rolex's CEO says",financial_news
9403,1,Interest rate swap markets reflected changing expectations for future monetary policy.,financial_news
9403,2,Regulatory enforcement actions increased across multiple jurisdictions and business lines.,financial_news
9403,3,Return on invested capital increased to 15.2% from 12.8% in the previous year.,financial_news
9403,4,Cybertruck deliveries are reportedly being delayed,financial_news
9403,5,Multi-factor investment models showed strong performance across different market environments.,financial_news
9403,6,New financial regulations require enhanced reporting and transparency measures across all business lines.,financial_news
9403,7,Interest rate differentials between countries affected currency flows and exchange rates.,financial_news
9403,8,Continued from the article titled 'Prologis sees market tightening again once interest rate cuts begin': 5% and 96,financial_news
9403,9,Sector rotation patterns emerged as investors reallocated capital from growth to value stocks.,financial_news
9403,10,"but it isn't really panic time,"" Kinahan said",financial_news
4460,1,Regulatory risk assessments were integrated into business planning and decision-making processes.,financial_news
4460,2,Interest rate risk management became critical for financial institutions and investors.,financial_news
4460,3,Q1 Earnings Triumph Fueling The Stock HigherUnited Airlines reported first-quarter revenue of $12,financial_news
4460,4,"5 billion, exceeding the consensus estimate of $12",financial_news
4460,5,Regulatory capital optimization strategies balanced regulatory requirements with business objectives.,financial_news
4460,6,"57 Wall Street expected, per Bloomberg data",financial_news
4460,7,Revenue recognition policies aligned with new accounting standards and regulatory requirements.,financial_news
4460,8,Earnings before depreciation and amortization expanded to $4.2 billion from $3.1 billion.,financial_news
4460,9,"Diluted earnings per share grew 22% year-over-year, exceeding consensus estimates.",financial_news
4460,10,Capital allocation decisions prioritized shareholder value creation and long-term growth.,financial_news
2650,1,"JB: Where are you finding opportunities?PS: Until very recently, I was finding almost too many opportunities in the unloved and overlooked areas like pharmaceuticals, chemicals and staples",financial_news
2650,2,Compliance risk culture assessments identified areas for improvement and enhancement.,financial_news
2650,3,Loan approval rates tightened as banks increased risk assessment standards for commercial lending.,financial_news
2650,4,Derivatives usage for portfolio protection increased significantly during market uncertainty.,financial_news
2650,5,Market makers adjusted spreads in response to increased volatility and uncertainty.,financial_news
2650,6,But I have to wonder if investors are truly getting that the Fed is unlikely to cut interest rates at all this year! Check out theCME Fed Watchtool below for the Fed's December meeting,financial_news
2650,7,"""Does it bear watching? Of course",financial_news
2650,8,Here's where US indexes stood at the 9:30 a,financial_news
2650,9,Forward guidance from central banks influenced market expectations for future rate movements.,financial_news
2650,10,Interest rate differentials between countries affected currency flows and exchange rates.,financial_news
9455,1,This is well above the 3,financial_news
9455,2,"Is It a Buy?', published on 17 April, 2024",financial_news
9455,3,Interest rate forward guidance helped anchor long-term inflation expectations.,financial_news
9455,4,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
9455,5,Interest rate corridor systems provided stability in short-term funding markets.,financial_news
9455,6,91 on the last check Wednesday,financial_news
9455,7,Purchase applications drove the increase,financial_news
9455,8,Monetary policy transmission mechanisms functioned effectively across financial markets.,financial_news
9455,9,"That result, which was equal to $5",financial_news
9455,10,"but it isn't really panic time,"" Kinahan said",financial_news
5505,1,Alternative beta strategies provided diversification benefits beyond traditional market exposure.,financial_news
5505,2,"Based on the data, the company does not plan to develop dalzanemdor (SAGE-718) further in Parkinson’s Disease",financial_news
5505,3,Deutsche Bank points out this is the lowest this has been so far in this cycle,financial_news
5505,4,"""Perfectly said, and most others on the Street would agree",financial_news
5505,5,Butthe short interesthas also reached over 18% of available Rivian shares,financial_news
5505,6,Corporate financial reporting transparency increased under new accounting standards.,financial_news
5505,7,Credit risk capital requirements increased under new regulations and supervisory guidance.,financial_news
5505,8,So could the share prices,financial_news
5505,9,Compliance costs increased 18% due to stricter supervisory requirements and regulatory changes.,financial_news
5505,10,The company also gave investors a generous dividend hike,financial_news
19269,1,Forward guidance from central banks influenced market expectations for future rate movements.,financial_news
19269,2,50 at the time of the print,financial_news
19269,3,Interest rate policy decisions were communicated clearly to financial market participants.,financial_news
19269,4,Compliance monitoring systems detected potential violations early and prevented regulatory issues.,financial_news
19269,5,More people are looking for rate cuts than those expecting rates to be at the same level they are today,financial_news
19269,6,Policy rate decisions influenced borrowing costs across consumer and business lending.,financial_news
19269,7,"In the wake of this commentary, fed funds futures are now pricing in only 40 basis points of rate cuts by year-end",financial_news
19269,8,The Federal Reserve maintained its benchmark interest rate at 5.25-5.50% following the latest policy meeting.,financial_news
19269,9,"Stock Advisorprovides investors with an easy-to-follow blueprint for success, including guidance on building a portfolio, regular updates from analysts, and two new stock picks each month",financial_news
19269,10,Interest rate forward guidance helped anchor long-term inflation expectations.,financial_news
21981,1,"6% in the quarter, 120 bps lower y/y",financial_news
21981,2,Butthe short interesthas also reached over 18% of available Rivian shares,financial_news
21981,3,The vast majority of TEAES were mild to moderate in severity,financial_news
21981,4,Cybertruck deliveries are reportedly being delayed,financial_news
21981,5,"Bitcoin is about to undergo another ""halving"" event",financial_news
21981,6,Technical Red Flagsoriginally appeared onBenzinga,financial_news
21981,7,What they may be missing are a few points brought to light by Deutsche Bank analyst Bryan Kraft this morning,financial_news
21981,8,WAIS-IV is the most advanced adult measure of cognitive ability,financial_news
21981,9,Earnings momentum indicators pointed to continued strength in the upcoming quarters.,financial_news
21981,10,The stock was up about 12% as of 10:30 a,financial_news
3339,1,Short interest ratios declined as bearish sentiment decreased across multiple sectors.,financial_news
3339,2,Monetary policy accommodation supported economic recovery and employment growth.,financial_news
3339,3,Policy rate normalization was conducted gradually to minimize market volatility.,financial_news
3339,4,Monetary policy normalization process proceeded gradually to avoid market disruption.,financial_news
3339,5,Interest rate policy effectiveness was enhanced by macroprudential policy coordination.,financial_news
3339,6,We haven’t bought cash bonds in many quarters,financial_news
3339,7,Capital expenditure plans were revised upward to support growth and competitive positioning.,financial_news
3339,8,Corporate risk management frameworks were enhanced significantly to address emerging risks.,financial_news
3339,9,The yield curve flattened as short-term rates remained elevated while long-term rates declined.,financial_news
3339,10,"""In a higher interest rate environment, certainly higher than 0%-1% or 0%-2%, stocks traditionally do very well,"" Belski said",financial_news
23090,1,Our work said that two or three cuts would be a lot with the risk being less or none,financial_news
23090,2,Here's why that could send its price soaring,financial_news
23090,3,The company also gave investors a generous dividend hike,financial_news
23090,4,We expect Tesla to have to comment on these on its upcoming earnings call,financial_news
23090,5,"However, it lowered its full-year guidance by 1% to a new range of $5",financial_news
23090,6,Term premium on long-term bonds increased significantly as uncertainty about future policy grew.,financial_news
23090,7,"""So I think we're recalibrating that",financial_news
23090,8,If the 2-Year Treasury somehow spikes to 5,financial_news
23090,9,"Story continuesSee the 10 stocks »*Stock Advisor returns as of April 15, 2024Jeremy Bowmanhas no position in any of the stocks mentioned",financial_news
23090,10,Market makers adjusted spreads in response to increased volatility and uncertainty.,financial_news
19358,1,Cybertruck deliveries are reportedly being delayed,financial_news
19358,2,Talk about being embarrassingly wrong yet again,financial_news
19358,3,"Despite headwinds, including a 9",financial_news
19358,4,Compliance monitoring systems detected potential violations early and prevented regulatory issues.,financial_news
19358,5,"Stop thinking your expensive watch is an investment, Rolex's CEO says",financial_news
19358,6,"5%, well, Houston, we have a big and serious problem",financial_news
19358,7,Compliance audit trails were maintained for all transactions and business activities.,financial_news
19358,8,The Motley Fool has no position in any of the stocks mentioned,financial_news
19358,9,Net effective rent change (over the entire lease term) was 67,financial_news
19358,10,United Airlines’ stellar first-quarter performance reflects resilience amidst industry challenges,financial_news
2602,1,"The Federal Reserve releases minutes from the March meeting of its policymakers on Wednesday, April 11",financial_news
2602,2,The Federal Reserve maintained its benchmark interest rate at 5.25-5.50% following the latest policy meeting.,financial_news
2602,3,91 on the last check Wednesday,financial_news
2602,4,"3% from the prior week ending April 12, the Mortgage Bankers Association (MBA)reported",financial_news
2602,5,Capital expenditure authorization processes ensured proper oversight and accountability.,financial_news
2602,6,"ET on Wednesday, fueled by investor optimism around itsupbeat earnings report",financial_news
2602,7,Federal funds rate target range remained at 5.25-5.50 percent for the third consecutive meeting.,financial_news
2602,8,Q1 Earnings Triumph Fueling The Stock HigherUnited Airlines reported first-quarter revenue of $12,financial_news
2602,9,Cybertruck deliveries are reportedly being delayed,financial_news
2602,10,"Market capitalization of tech stocks reached unprecedented levels, exceeding $10 trillion.",financial_news
7547,1,Term premium on long-term bonds increased significantly as uncertainty about future policy grew.,financial_news
7547,2,91 on the last check Wednesday,financial_news
7547,3,"ET on Wednesday, fueled by investor optimism around itsupbeat earnings report",financial_news
7547,4,Market sentiment surveys showed increasing optimism among professional investors.,financial_news
7547,5,Credit risk reporting frequency increased to support timely decision-making.,financial_news
7547,6,Operating leverage improved as fixed costs remained stable while revenues increased.,financial_news
7547,7,Merger and acquisition activity accelerated with $75 billion in deals announced during the quarter.,financial_news
7547,8,The yield curve flattened as short-term rates remained elevated while long-term rates declined.,financial_news
7547,9,"All three benchmark indexes ticked higher, while long-dated bond yields dipped",financial_news
7547,10,Interest rate forward guidance helped anchor long-term inflation expectations.,financial_news
17560,1,"The tech sector (XLK) was the worst-performing sector in the S&P 500, falling more than 1%",financial_news
17560,2,The stock was up about 12% as of 10:30 a,financial_news
17560,3,"75%, which is a 75-bp reduction from the midpoint of the prior range",financial_news
17560,4,"The tech sector (XLK) was the worst-performing sector in the S&P 500, falling nearly 1",financial_news
17560,5,This is well above the 3,financial_news
17560,6,Credit portfolio diversification strategies were implemented to reduce concentration risk.,financial_news
17560,7,5% in months when the 10-year was 6%,financial_news
17560,8,"It expects vacancy rates to reach the mid-6% range, quickly moving quickly lower later this year",financial_news
17560,9,"Bitcoin is about to undergo another ""halving"" event",financial_news
17560,10,"See the 10 stocks*Stock Advisor returns as of April 15, 2024Rich Smithhas no position in any of the stocks mentioned",financial_news
9869,1,Investment style rotation strategies captured market momentum and sector performance trends.,financial_news
9869,2,Credit risk monitoring systems were enhanced to detect early warning signals.,financial_news
9869,3,"Despite the positive earnings report, these technical indicators collectively highlight the cautious stance investors should adopt, emphasizing the importance of closely monitoring the stock’s price movements for potential opportunities in line with prevailing market dynamics",financial_news
9869,4,"Wed, April 17, 2024 at 12:15 PM PDTJosh SchaferTrending tickers on WednesdayArm holdings (ARM) ledthe Yahoo Finance trending tickers pageon Wednesday as shares fell nearly 10% amid a broader sell-off in chip stocks",financial_news
9869,5,"01%, the MBA data showed",financial_news
9869,6,Stocks tumbled this week as investors continued to digest hotter-than-expected inflation data and the central bank's latest guidance on rate cuts,financial_news
9869,7,"Denied access to advanced chips and chipmaking equipment by the West, and spurred by local government edicts, Chinese companies are ""doubling down on",financial_news
9869,8,29 billion euros and was down even more sequentially,financial_news
9869,9,Earnings momentum indicators pointed to continued strength in the upcoming quarters.,financial_news
9869,10,"Wed, April 17, 2024 at 7:57 AM PDTJosh SchaferEarnings are under more scrutiny this quarterIt's early in earnings season, but a warning sign is flashing for investors as quarterly results roll in",financial_news
2143,1,Forward guidance from central banks influenced market expectations for future rate movements.,financial_news
2143,2,Corporate financial policies were updated to reflect changing market conditions.,financial_news
2143,3,Monetary policy normalization process proceeded gradually to avoid market disruption.,financial_news
2143,4,Regulatory change management processes were formalized to ensure timely implementation.,financial_news
2143,5,Internal controls strengthened governance and operational risk mitigation across all business units.,financial_news
2143,6,Policy rate normalization was conducted gradually to minimize market volatility.,financial_news
2143,7,Regulatory reporting technology platforms were upgraded to support new requirements.,financial_news
2143,8,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
2143,9,Corporate cash flow management practices improved working capital efficiency.,financial_news
2143,10,Interest rate policy decisions were communicated clearly to financial market participants.,financial_news
14375,1,Compliance risk culture assessments identified areas for improvement and enhancement.,financial_news
14375,2,Central bank communication strategy emphasized data dependency in policy decisions.,financial_news
14375,3,WAIS-IV is the most advanced adult measure of cognitive ability,financial_news
14375,4,Portfolio stress testing scenarios were expanded to include new risk factors and correlations.,financial_news
14375,5,Monetary policy effectiveness was enhanced by coordinated fiscal policy measures.,financial_news
14375,6,The PRECEDENT Study did not meet its primary endpoint of demonstrating a statistically significant difference from baseline in participants treated with once-daily dalzanemdor versus placebo on the Wechsler Adult Intelligence Scale Fourth Edition-IV (WAIS-IV) Coding Test score at Day 42,financial_news
14375,7,Operating leverage improved as fixed costs remained stable while revenues increased.,financial_news
14375,8,Corporate cash flow management practices improved working capital efficiency.,financial_news
14375,9,Debt refinancing improved interest coverage ratios to 4.2x from 3.1x in the previous year.,financial_news
14375,10,Forward guidance from central banks influenced market expectations for future rate movements.,financial_news
21754,1,Net effective rent change (over the entire lease term) was 67,financial_news
21754,2,"ET on Wednesday, the stock was down 7",financial_news
21754,3,Investment governance structures ensured proper oversight and alignment with objectives.,financial_news
21754,4,50 at the time of the print,financial_news
21754,5,It covers the following details: United Airlines Stock: Q1 Earnings Surge Vs,financial_news
21754,6,The vast majority of TEAES were mild to moderate in severity,financial_news
21754,7,Corporate debt levels were managed prudently to maintain financial flexibility.,financial_news
21754,8,Earnings before interest and taxes grew 20% year-over-year on operational improvements.,financial_news
21754,9,Compliance governance structures ensured proper oversight and accountability for regulatory matters.,financial_news
21754,10,29 billion euros and was down even more sequentially,financial_news
4952,1,Commercial real estate lending standards tightened as property values and cash flows declined.,financial_news
4952,2,Lending capacity constraints affected small business loan availability and approval rates.,financial_news
4952,3,Butthe short interesthas also reached over 18% of available Rivian shares,financial_news
4952,4,The yield curve flattened as short-term rates remained elevated while long-term rates declined.,financial_news
4952,5,Cybertruck deliveries are reportedly being delayed,financial_news
4952,6,Sector rotation patterns emerged as investors reallocated capital from growth to value stocks.,financial_news
4952,7,Interest rate differentials between countries affected currency flows and exchange rates.,financial_news
4952,8,This is well above the 3,financial_news
4952,9,The volume of mortgage applications increased 3,financial_news
